fire_fly_id,referrer_type_value,percentbyref
3163930,Search Engines,0.8633879781420765
3163930,Typed/Bookmarked,0.5573770491803278
3163988,Inside Your Site,0.8
3163988,Search Engines,0.06666666666666667
3163988,Typed/Bookmarked,0.5333333333333333
3164032,Inside Your Site,0.9166666666666666
3164032,Typed/Bookmarked,0.9166666666666666
3164061,Inside Your Site,0.2826086956521739
3164061,Other Web Sites,0.391304347826087
3164061,Search Engines,0.18478260869565216
3164061,Typed/Bookmarked,0.4891304347826087
3164165,Inside Your Site,0.3333333333333333
3164165,Typed/Bookmarked,0.6666666666666666
3164171,Inside Your Site,0.6666666666666666
3164171,Search Engines,0.16666666666666666
3164171,Typed/Bookmarked,0.6666666666666666
3164303,Inside Your Site,0.34177215189873417
3164303,Other Web Sites,0.0759493670886076
3164303,Search Engines,0.0379746835443038
3164303,Social Networks,0.02531645569620253
3164303,Typed/Bookmarked,0.9113924050632911
3164304,Inside Your Site,0.05917159763313609
3164304,Other Web Sites,0.04142011834319527
3164304,Search Engines,0.01775147928994083
3164304,Social Networks,0.8520710059171598
3164304,Typed/Bookmarked,0.7337278106508875
3164343,Typed/Bookmarked,1
3164391,Inside Your Site,0.4166666666666667
3164391,Other Web Sites,0.08333333333333333
3164391,Typed/Bookmarked,0.8333333333333334
3164410,Inside Your Site,0.16549295774647887
3164410,Search Engines,0.721830985915493
3164410,Social Networks,0.3767605633802817
3164410,Typed/Bookmarked,0.7605633802816901
3164507,Inside Your Site,0.4528301886792453
3164507,Search Engines,0.03773584905660377
3164507,Typed/Bookmarked,1
3164628,Inside Your Site,0.4152046783625731
3164628,Search Engines,0.19883040935672514
3164628,Typed/Bookmarked,0.9473684210526315
3164758,Inside Your Site,0.0783132530120482
3164758,Other Web Sites,0.006024096385542169
3164758,Search Engines,0.024096385542168676
3164758,Social Networks,0.8614457831325302
3164758,Typed/Bookmarked,0.3132530120481928
3164787,Inside Your Site,0.2542372881355932
3164787,Other Web Sites,0.00847457627118644
3164787,Search Engines,0.1864406779661017
3164787,Social Networks,0.5423728813559322
3164787,Typed/Bookmarked,0.5
3164799,Inside Your Site,0.6633663366336634
3164799,Search Engines,0.45544554455445546
3164799,Social Networks,0.009900990099009901
3164799,Typed/Bookmarked,0.6831683168316832
3164904,Inside Your Site,0.745
3164904,Other Web Sites,0.03
3164904,Search Engines,0.025
3164904,Social Networks,0.045
3164904,Typed/Bookmarked,0.94
3165041,Inside Your Site,0.1388888888888889
3165041,Search Engines,0.3194444444444444
3165041,Social Networks,0.2777777777777778
3165041,Typed/Bookmarked,0.5
3165086,Inside Your Site,0.3
3165086,Search Engines,0.6
3165086,Typed/Bookmarked,0.6
3165112,Inside Your Site,0.6666666666666666
3165112,Typed/Bookmarked,0.6666666666666666
3165291,Inside Your Site,0.8571428571428571
3165291,Search Engines,0.14285714285714285
3165291,Typed/Bookmarked,0.7142857142857143
3165325,Inside Your Site,1
3165336,Inside Your Site,0.6666666666666666
3165336,Search Engines,0.3333333333333333
3165336,Typed/Bookmarked,0.3333333333333333
3165344,Inside Your Site,0.9545454545454546
3165344,Typed/Bookmarked,0.09090909090909091
3165397,Inside Your Site,0.14414414414414414
3165397,Other Web Sites,0.006006006006006006
3165397,Search Engines,0.5765765765765766
3165397,Typed/Bookmarked,0.4924924924924925
3165416,Inside Your Site,0.6153846153846154
3165416,Other Web Sites,0.07692307692307693
3165416,Typed/Bookmarked,0.7692307692307693
3165421,Inside Your Site,0.8788819875776398
3165421,Search Engines,0.006211180124223602
3165421,Typed/Bookmarked,0.8198757763975155
3165554,Inside Your Site,1
3165618,Inside Your Site,0.05454545454545454
3165618,Search Engines,0.09090909090909091
3165618,Social Networks,0.8181818181818182
3165618,Typed/Bookmarked,0.23636363636363636
3165696,Inside Your Site,0.058823529411764705
3165696,Social Networks,0.47058823529411764
3165696,Typed/Bookmarked,0.5882352941176471
